"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"13-search","S-01",NA,"name search returns rows",NA,"PASS",NA,0,NA,0.000653266906738281
"13-search","S-02",NA,"total_matches attribute is set and numeric",NA,"PASS",NA,0,NA,0.0108397006988525
"13-search","S-03",NA,"total_matches is at least the returned row count",NA,"PASS",NA,0,NA,0.00059056282043457
"13-search","S-04",NA,"search schema matches entity schema minus registry","D-93","FAIL"," logi FALSE",0,NA,0.177021980285645
"13-search","S-05",NA,"max_results is respected exactly",NA,"PASS",NA,0,NA,0.22855806350708
"13-search","S-06",NA,"max_results below the page size does not over-fetch",NA,"PASS",NA,0,NA,0.199022531509399
"13-search","S-07",NA,"max_results above the page size paginates",NA,"PASS",NA,0,NA,2.82788348197937
"13-search","S-08",NA,"legal_form filter is honoured",NA,"PASS",NA,0,NA,0.307867050170898
"13-search","S-09",NA,"municipality filter is honoured on enheter",NA,"PASS",NA,0,NA,0.289218664169312
"13-search","S-10",NA,"municipality filter is honoured on underenheter",NA,"PASS",NA,1,"Unknown or uninitialised column: `municipality_code`.",0.279783487319946
"13-search","S-11",NA,"nace filter is honoured",NA,"PASS",NA,0,NA,0.296183109283447
"13-search","S-12",NA,"min_employees is honoured",NA,"PASS",NA,0,NA,0.307631731033325
"13-search","S-13",NA,"max_employees is honoured",NA,"PASS",NA,1,"Unknown or uninitialised column: `employees`.",0.165508985519409
"13-search","S-14",NA,"bankrupt filter is honoured",NA,"PASS",NA,0,NA,0.277085781097412
"13-search","S-15",NA,"bankrupt on underenheter either filters or signals","D-04","FAIL"," logi FALSE",0,NA,0.207789421081543
"13-search","S-16",NA,"parent_org_nr filter is honoured",NA,"PASS",NA,0,NA,0.254928350448608
"13-search","S-17",NA,"combined filters are ANDed",NA,"PASS",NA,0,NA,0.240497827529907
"13-search","S-18",NA,"no-match search returns a typed empty tibble","D-05","FAIL"," logi FALSE",0,NA,0.171976566314697
"13-search","S-19",NA,"no-match search still reports total_matches zero",NA,"PASS",NA,0,NA,0.176409721374512
"13-search","S-20",NA,"type = label preserves total_matches",NA,"PASS",NA,0,NA,4.06215643882751
"13-search","S-21",NA,"brreg_label(code=) preserves total_matches","D-07","PASS",NA,0,NA,0.00319242477416992
"13-search","S-22",NA,"underenheter registry returns rows",NA,"PASS",NA,0,NA,0.224383592605591
"13-search","S-23",NA,"results are unique on org_nr",NA,"PASS",NA,0,NA,2.6979296207428
"13-search","S-24",NA,"pagination is stable across two identical calls",NA,"PASS",NA,0,NA,3.13749170303345
"13-search","S-25",NA,"max_results beyond the API ceiling warns and truncates",NA,"PASS",NA,0,NA,93.4234347343445
"13-search","S-26",NA,"brreg_underenheter default does not silently truncate a large parent","D-08","PASS",NA,0,NA,0.36958909034729
"13-search","S-27",NA,"brreg_underenheter with a large cap retrieves everything",NA,"PASS",NA,0,NA,1.13390183448792
"13-search","S-28",NA,"brreg_children returns the ORGL hierarchy",NA,"PASS",NA,0,NA,0.194506645202637
"13-search","S-29",NA,"brreg_children on an AS returns a typed empty tibble","D-05","FAIL"," logi FALSE",0,NA,0.17133903503418
"13-search","S-30",NA,"brreg_underenheter type = label works",NA,"PASS",NA,0,NA,0.186041116714478
"13-search","S-31",NA,"search never returns list columns",NA,"PASS",NA,0,NA,0.75084114074707
"13-search","S-32",NA,"search column types match the dictionary",NA,"PASS",NA,0,NA,0.607779979705811
"13-search","S-33",NA,"an unreachable filter combination returns empty, not an error",NA,"PASS",NA,0,NA,0.175082921981812
"13-search","S-34",NA,"search and entity agree on a single org",NA,"PASS",NA,0,NA,0.876853942871094
