"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed"
"21-network","N-01",NA,"depth 0 returns a tbl_graph",NA,"PASS",NA,0,NA,0.000570058822631836
"21-network","N-02",NA,"depth 0 has exactly one node",NA,"PASS",NA,0,NA,0.00890684127807617
"21-network","N-03",NA,"depth 0 has no edges",NA,"PASS",NA,0,NA,0.00217604637145996
"21-network","N-04",NA,"seed node id is prefixed",NA,"PASS",NA,0,NA,0.000699758529663086
"21-network","N-05",NA,"node schema is the documented one",NA,"PASS",NA,0,NA,0.000704050064086914
"21-network","N-06",NA,"depth 1 expands the graph",NA,"PASS",NA,0,NA,0.000946760177612305
"21-network","N-07",NA,"edge schema is the documented one",NA,"PASS",NA,0,NA,0.00134110450744629
"21-network","N-08",NA,"node ids are unique",NA,"PASS",NA,0,NA,0.000874519348144531
"21-network","N-09",NA,"every edge endpoint exists as a node",NA,"PASS",NA,0,NA,0.00155305862426758
"21-network","N-10",NA,"person nodes carry a person_id and no org_nr",NA,"PASS",NA,0,NA,0.000786304473876953
"21-network","N-11",NA,"entity nodes carry a valid org number",NA,"PASS",NA,0,NA,0.00217080116271973
"21-network","N-12",NA,"include = roles yields only role edges",NA,"PASS",NA,0,NA,0.357847690582275
"21-network","N-13",NA,"include = underenheter yields only establishment edges",NA,"PASS",NA,0,NA,0.579700469970703
"21-network","N-14",NA,"include = children yields only parent edges",NA,"PASS",NA,0,NA,0.385451793670654
"21-network","N-15",NA,"include = legal_roles yields only legal role edges",NA,"PASS",NA,0,NA,0.527874946594238
"21-network","N-16",NA,"include subsets are additive",NA,"PASS",NA,0,NA,1.62934803962708
"21-network","N-17",NA,"unknown include aborts",NA,"PASS","'arg' should be one of ""underenheter"", ""children"", ""roles"", ""legal_roles""",0,NA,0.00097203254699707
"21-network","N-18",NA,"edge direction is consistent for containment relations",NA,"PASS",NA,0,NA,2.38069462776184
"21-network","N-19",NA,"all edges point away from the seed or into it, not both","D-73","FAIL"," logi FALSE",0,NA,1.17956638336182
"21-network","N-20",NA,"multiple seeds produce a union graph",NA,"PASS",NA,0,NA,2.37761640548706
"21-network","N-21",NA,"repeated seeds do not duplicate nodes",NA,"PASS",NA,0,NA,2.33464813232422
"21-network","N-22",NA,"depth 1 role edges match brreg_roles row count",NA,"PASS",NA,0,NA,0.53351354598999
"21-network","N-23",NA,"depth 2 without bulk data aborts with instructions",NA,"PASS",NA,0,NA,1.26122641563416
"21-network","N-24",NA,"depth above 2 does not silently equal depth 2",NA,"PASS",NA,0,NA,2.42612385749817
"21-network","N-25",NA,"graph is directed",NA,"PASS",NA,0,NA,1.27786803245544
